CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90736476,2018,2018-05-29,9335,2018-05-18,0755,022037,,5,1,7,3801,0,1,2,,2,013,"US-101 N/B","ALEMANY BLVD U/C",80.00,S,N,B,-,Y,,,101,,,,,,N,N,4,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,-,-,37.73747,-122.40784,"SAN FRANCISCO","SAN FRANCISCO",-122.40780081,37.73748323
90736282,2018,2018-05-29,9335,2018-05-17,1215,022007,,4,1,7,3801,0,1,1,,2,023,"I-280 N/B TO US-101 N/B","CORTLAND AVENUE UNDER-CROSSING",435.00,S,N,A,-,Y,,,,,,,,,,Y,3,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,-,-,37.73841,-122.40775,"SAN FRANCISCO","SAN FRANCISCO",,
90735985,2018,2018-05-29,9335,2018-05-28,1045,018845,,1,1,7,3801,0,1,1,,1,083,"I-80 E/B FROM ESSEX ST.","ESSEX ST",278.00,E,N,A,-,Y,,,80,,,,R,,E,Y,4,0,2,2,A,-,07,21658,A,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,-,-,37.78522,-122.39317,"SAN FRANCISCO","SAN FRANCISCO",-122.39317,37.78522
90735917,2018,2018-05-29,9335,2018-05-17,1035,022096,,4,1,7,3801,0,1,2,,2,013,"US-101 NORTHBOUND","BACON STREET",100.00,S,N,A,-,Y,,,101,,,,,,N,Y,4,0,2,2,A,-,03,22350,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,-,-,37.72752,-122.40259,"SAN FRANCISCO","SAN FRANCISCO",-122.40254457,37.72753674
90735464,2018,2018-05-28,9335,2018-05-22,1723,018688,,2,2,7,3801,0,1,1,,1,081,"I-80 W/B","YERBA BUENA ISLAND TUNNEL",350.00,W,N,B,-,Y,,,80,,,,,,W,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,-,-,37.8083,-122.36712,"SAN FRANCISCO","SAN FRANCISCO",-122.36703456,37.80821129
90735458,2018,2018-05-28,9335,2018-05-17,1542,019799,,4,2,7,3801,0,1,1,,2,080,"I-80 E/B","7TH ST. OFF RAMP",400.00,E,N,A,-,Y,,,80,,,,,,E,Y,3,0,1,3,A,-,17,22517,,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,0,1,0,0,0,0,0,0,1,-,-,37.77244,-122.40656,"SAN FRANCISCO","SAN FRANCISCO",-122.406529,37.77244724
90735427,2018,2018-05-28,9335,2018-05-16,1200,022037,,3,1,7,3801,0,1,1,,2,023,"I-280 N/B TO US-101 N/B","SAN BRUNO AVE",700.00,S,N,A,-,Y,,,280,,,,R,,N,N,4,0,1,2,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,-,-,37.7343,-122.40969,"SAN FRANCISCO","SAN FRANCISCO",-122.40969,37.7343
90735387,2018,2018-05-28,9335,2018-03-22,0540,021147,,4,3,7,3801,0,1,1,,2,080,"I-80 E/B","8TH ST",150.00,W,N,C,-,Y,,,80,,,,,,E,Y,3,0,1,2,A,-,08,22107,,F,B,C,A,B,H,-,C,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,-,-,37.7714,-122.40603,"SAN FRANCISCO","SAN FRANCISCO",-122.40604332,37.77139234
90735309,2018,2018-05-28,9335,2018-03-17,2330,021780,,6,3,7,3801,0,1,1,,1,081,"I-80 W/B","MACALLA RD. U/C",1901.00,E,N,B,-,Y,,,80,,,,,,W,Y,4,0,1,4,A,-,03,22350,,N,C,C,A,A,C,-,C,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,-,-,37.81527,-122.35896,"SAN FRANCISCO","SAN FRANCISCO",-122.35903563,37.81539913
90735216,2018,2018-05-25,9335,2018-05-14,1540,020658,,1,2,7,3801,0,1,1,,2,022,"I-280 N/B","WHIPPLE AVENUE PEDESTRIAN OVER-CROSSING",150.00,N,N,A,-,Y,,,280,,,,,,N,Y,3,0,3,5,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,2,0,0,0,0,0,0,-,-,37.71307,-122.45221,"SAN FRANCISCO","SAN FRANCISCO",-122.45229738,37.71317121
